"","Tier","Yellow","Green"
"1",1,1,0
"2",2,1,0
"3",3,2,0
"4",4,0,1
"5",5,2,0
"6",6,0,1
"7",7,1,0
"8",8,1,2
"9",9,0,2
"10",10,2,0
"11",1,1,1
"12",2,1,0
"13",3,1,0
"14",4,0,3
"15",5,2,0
"16",6,1,0
"17",7,2,0
"18",8,2,0
"19",9,3,0
"20",10,0,0
"21",1,1,0
"22",2,2,0
"23",3,1,0
"24",4,0,2
"25",5,0,1
"26",6,1,0
"27",7,2,0
"28",8,2,1
"29",9,0,1
"30",10,2,0
"31",1,1,0
"32",2,0,1
"33",3,1,2
"34",4,1,1
"35",5,3,0
"36",6,0,1
"37",7,1,0
"38",8,0,1
"39",9,0,2
"40",10,1,1
"41",1,2,0
"42",2,0,1
"43",3,1,1
"44",4,2,0
"45",5,0,3
"46",6,1,2
"47",7,1,0
"48",8,2,0
"49",9,1,0
"50",10,2,1
"51",1,1,0
"52",2,2,0
"53",3,0,0
"54",4,1,2
"55",5,2,1
"56",6,1,1
"57",7,2,0
"58",8,0,0
"59",9,1,0
"60",10,1,0
"61",1,0,0
"62",2,1,1
"63",3,0,1
"64",4,1,0
"65",5,1,0
"66",6,2,1
"67",7,1,1
"68",8,2,0
"69",9,1,1
"70",10,0,2
"71",1,1,2
"72",2,0,2
"73",3,2,0
"74",4,1,0
"75",5,0,1
"76",6,3,0
"77",7,1,1
"78",8,0,1
"79",9,0,1
"80",10,2,0
"81",1,1,0
"82",2,1,1
"83",3,1,0
"84",4,3,0
"85",5,3,0
"86",6,1,0
"87",7,2,1
"88",8,1,1
"89",9,2,0
"90",10,2,1
"91",1,0,2
"92",2,0,1
"93",3,0,0
"94",4,0,1
"95",5,3,0
"96",6,2,0
"97",7,2,0
"98",8,0,1
"99",9,3,0
"100",10,1,2
"101",1,0,0
"102",2,0,0
"103",3,1,1
"104",4,1,1
"105",5,4,0
"106",6,1,0
"107",7,1,2
"108",8,1,0
"109",9,1,1
"110",10,0,1
"111",1,0,0
"112",2,0,0
"113",3,1,1
"114",4,1,0
"115",5,0,2
"116",6,1,2
"117",7,3,0
"118",8,0,0
"119",9,3,0
"120",10,1,1
"121",1,2,1
"122",2,1,1
"123",3,2,1
"124",4,1,0
"125",5,0,2
"126",6,1,0
"127",7,1,1
"128",8,1,1
"129",9,1,1
"130",10,0,2
"131",1,0,1
"132",2,0,1
"133",3,2,1
"134",4,1,1
"135",5,3,0
"136",6,2,1
"137",7,0,1
"138",8,1,1
"139",9,1,0
"140",10,2,0
"141",1,0,4
"142",2,0,2
"143",3,2,0
